0-1_너비_우선_탐색(0_1_bfs),0-1 너비 우선 탐색,0_1_bfs,tier2
2-sat(2_sat),2-sat,2_sat,tier3
a*(a_star),a*,a_star,tier5
애드_혹(ad_hoc),애드 혹,ad_hoc,tier2
아호-코라식(aho_corasick),아호-코라식,aho_corasick,tier3
Aliens_트릭(alien),Aliens 트릭,alien,tier4
임의_정밀도_/_큰_수_연산(arbitrary_precision),임의 정밀도 / 큰 수 연산,arbitrary_precision,tier1
사칙연산(arithmetic),사칙연산,arithmetic,tier0
단절점과_단절선(articulation),단절점과 단절선,articulation,tier3
백트래킹(backtracking),백트래킹,backtracking,tier1
베이즈_정리(bayes),베이즈 정리,bayes,tier3
벨만–포드(bellman_ford),벨만–포드,bellman_ford,tier2
벌리캠프–매시(berlekamp_massey),벌리캠프–매시,berlekamp_massey,tier3
너비_우선_탐색(bfs),너비 우선 탐색,bfs,tier2
이중_연결_요소(biconnected_component),이중 연결 요소,biconnected_component,tier3
양방향_탐색(bidirectional_search),양방향 탐색,bidirectional_search,tier3
이분_탐색(binary_search),이분 탐색,binary_search,tier2
이분_그래프(bipartite_graph),이분 그래프,bipartite_graph,tier2
이분_매칭(bipartite_matching),이분 매칭,bipartite_matching,tier3
생일_문제(birthday),생일 문제,birthday,tier2
비트마스킹(bitmask),비트마스킹,bitmask,tier2
비트_집합(bitset),비트 집합,bitset,tier3
브루트포스_알고리즘(bruteforcing),브루트포스 알고리즘,bruteforcing,tier1
번사이드_보조정리(burnside),번사이드 보조정리,burnside,tier3
선인장(cactus),선인장,cactus,tier3
미적분학(calculus),미적분학,calculus,tier2
데카르트_트리(cartesian_tree),데카르트 트리,cartesian_tree,tier4
많은_조건_분기(case_work),많은 조건 분기,case_work,tier1
센트로이드(centroid),센트로이드,centroid,tier4
센트로이드_분할(centroid_decomposition),센트로이드 분할,centroid_decomposition,tier4
현_그래프(chordal_graph),현 그래프,chordal_graph,tier4
볼록_껍질을_이용한_최적화(cht),볼록 껍질을 이용한 최적화,cht,tier3
서큘레이션(circulation),서큘레이션,circulation,tier4
조합론(combinatorics),조합론,combinatorics,tier2
해_구성하기(constructive),해 구성하기,constructive,tier2
볼록_껍질(convex_hull),볼록 껍질,convex_hull,tier3
값_/_좌표_압축(coordinate_compression),값 / 좌표 압축,coordinate_compression,tier2
중국인의_나머지_정리(crt),중국인의 나머지 정리,crt,tier3
방향_비순환_그래프(dag),방향 비순환 그래프,dag,tier2
춤추는_링크(dancing_links),춤추는 링크,dancing_links,tier4
자료_구조(data_structures),자료 구조,data_structures,tier2
차수열(degree_sequence),차수열,degree_sequence,tier2
델로네_삼각분할(delaunay),델로네 삼각분할,delaunay,tier5
덱(deque),덱,deque,tier2
덱을_이용한_구간_최댓값_트릭(deque_trick),덱을 이용한 구간 최댓값 트릭,deque_trick,tier3
깊이_우선_탐색(dfs),깊이 우선 탐색,dfs,tier2
차분_공격(differential_cryptanalysis),차분 공격,differential_cryptanalysis,tier1
데이크스트라(dijkstra),데이크스트라,dijkstra,tier2
유향_최소_신장_트리(directed_mst),유향 최소 신장 트리,directed_mst,tier4
이산_k제곱근(discrete_kth_root),이산 k제곱근,discrete_kth_root,tier3
이산_로그(discrete_log),이산 로그,discrete_log,tier4
